title,date,stock,price_after_a_week
Cramer: NASDAQ Rebound Makes Sense As It Better Represents Economy,2020-06-09,QQQ,-0.18495560807699463
US indices are higher following strong US jobs data and continued optimism amid the reopening of the economy.,2020-06-05,QQQ,-1.5895519079681852
US indices are lower as market rally pauses following worse-than-expected US jobless claims data.,2020-06-04,QQQ,-0.42973024903089224
US indices open higher as markets continue to gain on optimism over an economic reopening as well as a smaller-than-expected drop in nonfarm payrolls.,2020-06-03,QQQ,4.026363141439326
"US indices are lower amid US-China tensions and protests across US cities, which have potentially interfered with business reopenings. Disappointing breast cancer from Pfizer also weighed on the Dow.",2020-06-01,QQQ,3.2000363428183896
"4 Key Takeaways From Trump's China Presser: Hong Kong, WHO And More",2020-05-29,QQQ,2.7125475543685744
US indices are higher for the session as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26,QQQ,2.877232012489627
"US indices are lower for the session amid US-China tensions over new Hong Kong measures, as well as China not setting  2020 GDP target amid coronavirus uncertainty. NOTE: Investors also weigh comments from Fauci after he called vaccine data 'promising.'",2020-05-22,QQQ,1.6110759102834575
"US indices are lower for the session, selling off from recent rally. Stocks have gained recently on economic optimism, with investors potentially taking profits following recent strength.",2020-05-21,QQQ,0.4893651524744464
"US Indices are higher for the session amid strength in oil, strong earnings from Lowe's and optimism towards a US economic rebound.",2020-05-20,QQQ,-0.47539046836677634
US indices are lower for the session following a record drop in US retail sales as well as US-China tensions after the US announced plans to block ship shipments from Huawei.,2020-05-15,QQQ,2.8620055921170615
US indices are lower for the session on continued weakness following US unemployment data as well as cautious outlook from the WHO. Stocks Moved lower on Wednesday after US Fed Chair Powell warned of uncertainty and downside risk.,2020-05-14,QQQ,3.173598222299967
US Indices are lower for the session amid investor concerns following comments from Fed Chair Powell suggesting high uncertainty and 'significant' downside risk.,2020-05-13,QQQ,5.493755457167043
"""Stay at Home"" Stocks Still Rule the Roost as Nvidia, Microsoft, Apple Start Week Firmly",2020-05-12,QQQ,2.1339843808298404
"US indices are lower for the session as investors weigh the effects of US states reopening their economies, which has led to concerns of a potential resurgence in coronavirus cases.",2020-05-11,QQQ,0.24683651974339196
US indices are higher for the session after US unemployment figures came in below consensus estimates. Equities have been strong this week amid a rebound in oil prices and some US states easing lockdown restrictions.,2020-05-08,QQQ,-0.7071053068260064
NASDAQ Turns Positive For The Year On An Intraday Basis,2020-05-07,QQQ,0.004505905547105824
"US Indices are higher amid continued economic optimism as some US states ease lockdown restrictions. While jobless claims came in worse than estimates, figures were lower than in prior weeks.",2020-05-07,QQQ,0.004505905547105824
US indices are higher amid positive investor sentiment as some US states begin to reopen their economies and as oil prices gain for the session.,2020-05-05,QQQ,2.0490631802065034
"US indices are higher for the session following positive data from a study of Gilead's Remdesivir, which is being evaluated as a potential coronavirus treatment candidate. A successful treatment could make a sooner return to economic activity possible.",2020-04-29,QQQ,0.0
US indices are higher for the session as some US states ease lockdown restrictions and as investors weigh quarterly earnings from blue chip companies.,2020-04-28,QQQ,2.912531442080372
"US equities are lower for the session on continued downward momentum after oil prices fell to historic lows, partially stemming from weak demand caused by the coronavirus pandemic.",2020-04-21,QQQ,3.226121837210811
"US Indices are lower amid mixed earnings results from banks, a significant decline in the price of oil and worse than expected retail sales in March.",2020-04-15,QQQ,0.7353330714192405
"US Indices are higher for the session amid positive economic sentiment on speculation that some coronavirus hotspots could soon level off. Markets also potentially reacting to US Senator Sanders dropping out of the presidential race, which potentially eased market concerns of stricter regulations and higher taxes proposed by Sanders.",2020-04-08,QQQ,4.417403246139385
"US indices are higher for the session after US President Trump said he spoke with Russia and Saudi Arabia and that the countries are expected to cut oil supply by 10 million barrels, which spiked crude prices following recent weakness.",2020-04-02,QQQ,7.983445190673763
"US Indices are lower at the close amid worsening coronavirus concerns in the US. The White House late Tuesday said it expects 100,000-240,000 US deaths and warned of a ' rough two-week period' approaching,",2020-04-01,QQQ,10.015912018165892
"US Indices are lower at the open amid coronavirus concerns in the US. The White House late Tuesday said it expects 100,000-240,000 US deaths and warned of a ' rough two-week period' approaching,",2020-04-01,QQQ,10.015912018165892
